timestamp,airspeed_mps,wind_combined_mps,wind1_mps,wind2_mps,pot1,pot2,steer_x_deg,steer_y_deg
2026-06-06 06:40:03.847,0.6,0.0,1.0,1.2,122,460,6.12,19.70
2026-06-06 06:40:04.318,0.6,0.0,1.0,1.2,127,458,6.05,19.73
2026-06-06 06:40:04.810,0.6,0.0,1.1,1.2,114,463,6.24,19.66
2026-06-06 06:40:05.505,0.6,0.0,1.1,1.2,114,463,6.24,19.66
2026-06-06 06:40:05.821,0.5,0.0,1.1,0.0,112,463,6.27,19.66
2026-06-06 06:40:06.320,0.5,0.0,1.1,0.0,83,458,6.69,19.73
2026-06-06 06:40:06.831,0.5,0.0,1.1,1.2,83,458,6.69,19.73
2026-06-06 06:40:07.303,0.5,0.0,1.1,1.2,64,461,6.97,19.69
2026-06-06 06:40:07.858,0.5,0.0,1.0,1.2,49,458,7.19,19.73
2026-06-06 06:40:08.329,0.4,0.0,1.0,1.2,36,458,7.38,19.73
2026-06-06 06:40:08.842,0.4,0.0,1.0,0.0,23,460,7.57,19.70
2026-06-06 06:40:09.339,0.4,0.0,1.1,0.0,10,460,7.76,19.70
2026-06-06 06:40:09.806,0.4,0.0,1.1,0.0,10,460,7.76,19.70
2026-06-06 06:40:10.357,0.4,0.0,1.1,0.0,0,460,7.91,19.70
2026-06-06 06:40:10.832,0.4,0.0,1.0,0.0,0,459,7.91,19.72
2026-06-06 06:40:11.300,0.4,0.0,1.0,0.0,0,460,7.91,19.70
2026-06-06 06:40:11.807,0.4,0.0,1.0,0.0,0,460,7.91,19.70
2026-06-06 06:40:12.841,0.4,0.0,1.0,0.0,0,442,7.91,19.97
2026-06-06 06:40:12.842,0.4,0.0,1.0,0.0,2,459,7.88,19.72
2026-06-06 06:40:13.338,0.4,0.0,1.0,0.0,1,459,7.90,19.72
2026-06-06 06:40:13.818,0.4,0.0,1.0,0.0,0,458,7.91,19.73
2026-06-06 06:40:14.337,0.4,0.0,1.0,0.0,0,458,7.91,19.73
2026-06-06 06:40:14.840,0.4,0.0,1.0,1.2,0,458,7.91,19.73
2026-06-06 06:40:15.304,0.4,0.0,1.0,1.2,0,460,7.91,19.70
2026-06-06 06:40:15.810,0.4,0.0,1.0,1.2,0,458,7.91,19.73
2026-06-06 06:40:16.317,0.4,0.0,1.1,1.2,0,453,7.91,19.80
2026-06-06 06:40:16.803,0.4,0.0,1.1,1.2,0,443,7.91,19.95
2026-06-06 06:40:17.313,0.4,0.0,1.0,1.2,0,444,7.91,19.94
2026-06-06 06:40:17.807,0.4,0.0,1.0,1.2,0,443,7.91,19.95
2026-06-06 06:40:18.310,0.4,0.0,1.0,1.2,0,444,7.91,19.94
2026-06-06 06:40:18.809,0.4,0.0,1.0,1.2,0,443,7.91,19.95
2026-06-06 06:40:19.833,0.4,0.0,1.0,1.3,0,445,7.91,19.92
2026-06-06 06:40:19.834,0.4,0.0,1.0,1.4,0,444,7.91,19.94
2026-06-06 06:40:20.308,0.4,0.0,1.1,1.5,0,440,7.91,20.00
2026-06-06 06:40:20.807,0.4,0.0,1.1,1.6,2,443,7.88,19.95
2026-06-06 06:40:21.359,0.4,0.0,1.1,1.6,1,446,7.90,19.91
2026-06-06 06:40:21.806,0.4,0.0,1.1,1.6,0,444,7.91,19.94
2026-06-06 06:40:22.307,0.4,0.0,1.1,1.6,0,444,7.91,19.94
2026-06-06 06:40:22.853,0.4,0.0,1.1,1.5,0,446,7.91,19.91
2026-06-06 06:40:23.338,0.4,0.0,1.1,1.5,0,444,7.91,19.94
2026-06-06 06:40:23.816,0.4,0.0,1.1,1.5,0,443,7.91,19.95
2026-06-06 06:40:24.809,0.4,0.0,1.1,1.6,0,443,7.91,19.95
2026-06-06 06:40:24.809,0.4,0.0,1.1,1.6,0,446,7.91,19.91
2026-06-06 06:40:25.306,0.4,0.0,1.1,1.6,1,443,7.90,19.95
2026-06-06 06:40:25.808,0.4,0.0,1.1,1.6,1,443,7.90,19.95
2026-06-06 06:40:26.335,0.4,0.0,1.0,1.5,0,443,7.91,19.95
2026-06-06 06:40:26.806,0.4,0.0,1.0,1.5,14,443,7.71,19.95
2026-06-06 06:40:27.307,0.5,0.0,0.9,1.5,38,442,7.35,19.97
2026-06-06 06:40:27.837,0.4,0.0,0.9,1.5,30,443,7.47,19.95
2026-06-06 06:40:28.304,0.4,0.0,0.9,1.5,10,442,7.76,19.97
2026-06-06 06:40:28.813,0.4,0.0,0.9,1.5,0,442,7.91,19.97
2026-06-06 06:40:29.328,0.4,0.0,0.9,1.5,2,442,7.88,19.97
2026-06-06 06:40:29.837,0.4,0.0,0.9,1.5,14,441,7.71,19.98
2026-06-06 06:40:30.337,0.4,0.0,1.0,1.5,23,443,7.57,19.95
2026-06-06 06:40:30.854,0.5,0.0,0.9,1.4,31,443,7.46,19.95
2026-06-06 06:40:31.317,0.4,0.0,0.9,1.3,20,442,7.62,19.97
2026-06-06 06:40:31.835,0.4,0.0,0.9,1.3,19,443,7.63,19.95
2026-06-06 06:40:32.316,0.5,0.0,1.0,1.3,48,444,7.21,19.94
2026-06-06 06:40:32.837,0.5,0.0,1.0,1.3,72,444,6.86,19.94
2026-06-06 06:40:33.337,0.6,0.0,1.1,1.3,104,442,6.39,19.97
2026-06-06 06:40:33.843,0.7,0.0,1.1,1.2,140,443,5.86,19.95
2026-06-06 06:40:34.339,0.8,0.0,1.1,1.3,207,444,4.88,19.94
2026-06-06 06:40:35.349,0.8,0.0,1.1,1.3,207,444,4.88,19.94
2026-06-06 06:40:35.349,0.8,0.0,1.1,1.3,207,444,4.88,19.94
2026-06-06 06:40:35.807,0.9,0.0,1.1,1.3,268,444,3.98,19.94
2026-06-06 06:40:36.310,0.9,0.0,1.1,0.0,299,442,3.53,19.97
2026-06-06 06:40:36.836,0.9,0.0,1.1,0.0,287,445,3.71,19.92
2026-06-06 06:40:37.558,0.9,0.0,1.1,0.0,287,445,3.71,19.92
2026-06-06 06:40:37.838,0.9,0.0,1.1,0.0,281,443,3.79,19.95
2026-06-06 06:40:37.839,0.9,0.0,1.2,0.0,281,443,3.79,19.95
2026-06-06 06:40:38.316,0.9,0.0,1.2,0.0,281,443,3.79,19.95
2026-06-06 06:40:38.849,0.9,0.0,1.3,0.0,317,442,3.27,19.97
2026-06-06 06:40:39.307,0.9,0.0,1.3,1.5,317,442,3.27,19.97
2026-06-06 06:40:39.808,0.9,0.0,1.3,1.5,317,442,3.27,19.97
2026-06-06 06:40:40.307,1.0,0.0,1.4,1.4,331,444,3.06,19.94
2026-06-06 06:40:40.838,0.9,0.0,1.4,1.4,321,444,3.21,19.94
2026-06-06 06:40:41.365,0.9,0.0,1.4,1.4,314,442,3.31,19.97
2026-06-06 06:40:41.837,0.9,0.0,1.4,1.4,282,443,3.78,19.95
2026-06-06 06:40:42.335,0.8,0.0,1.4,0.0,232,444,4.51,19.94
2026-06-06 06:40:42.828,0.7,0.0,1.4,0.0,208,443,4.86,19.95
2026-06-06 06:40:43.337,0.7,0.0,1.5,0.0,208,443,4.86,19.95
2026-06-06 06:40:43.840,0.7,0.0,1.5,1.2,208,443,4.86,19.95
2026-06-06 06:40:44.341,0.6,0.0,1.6,1.2,146,441,5.77,19.98
2026-06-06 06:40:44.838,0.6,0.0,1.6,1.1,134,443,5.95,19.95
2026-06-06 06:40:45.317,0.6,0.0,1.6,1.1,116,444,6.21,19.94
2026-06-06 06:40:45.835,0.6,0.0,1.5,1.1,110,444,6.30,19.94
2026-06-06 06:40:46.330,0.6,0.0,1.5,1.2,125,444,6.08,19.94
2026-06-06 06:40:46.856,0.5,0.0,1.5,1.1,93,453,6.55,19.80
2026-06-06 06:40:47.329,0.5,0.0,1.7,1.0,78,443,6.77,19.95
2026-06-06 06:40:47.812,0.6,0.0,1.7,1.0,88,444,6.62,19.94
2026-06-06 06:40:48.357,0.6,0.0,1.8,1.0,84,443,6.68,19.95
2026-06-06 06:40:48.836,0.6,0.0,1.8,1.0,97,443,6.49,19.95
2026-06-06 06:40:49.335,0.6,0.0,1.8,0.9,132,443,5.98,19.95
2026-06-06 06:40:49.813,0.7,0.0,1.8,0.9,143,443,5.82,19.95
2026-06-06 06:40:50.315,0.6,0.0,1.9,0.9,134,444,5.95,19.94
2026-06-06 06:40:50.807,0.6,0.0,1.9,1.0,112,445,6.27,19.92
2026-06-06 06:40:51.317,0.6,0.0,1.8,1.0,89,443,6.61,19.95
2026-06-06 06:40:51.816,0.5,0.0,1.7,1.0,74,442,6.83,19.97
2026-06-06 06:40:52.337,0.5,0.0,1.5,1.0,50,444,7.18,19.94
2026-06-06 06:40:52.836,0.4,0.0,1.5,1.0,23,443,7.57,19.95
2026-06-06 06:40:53.354,0.4,0.0,1.3,1.0,3,443,7.87,19.95
2026-06-06 06:40:53.852,0.4,0.0,1.1,1.0,3,443,7.87,19.95
2026-06-06 06:40:54.349,0.5,0.0,1.0,1.1,22,444,7.59,19.94
2026-06-06 06:40:54.830,0.5,0.0,1.0,1.1,35,443,7.40,19.95
2026-06-06 06:40:55.337,0.5,0.0,1.2,1.2,28,444,7.50,19.94
2026-06-06 06:40:55.810,0.5,0.0,1.3,1.2,32,443,7.44,19.95
2026-06-06 06:40:56.306,0.4,0.0,1.3,1.2,12,443,7.73,19.95
2026-06-06 06:40:56.838,0.4,0.0,1.4,1.2,0,442,7.91,19.97
2026-06-06 06:40:57.318,0.4,0.0,1.4,1.2,1,444,7.90,19.94
2026-06-06 06:40:57.816,0.4,0.0,1.3,1.2,0,444,7.91,19.94
2026-06-06 06:40:58.318,0.4,0.0,1.3,1.2,0,459,7.91,19.72
2026-06-06 06:40:58.857,0.4,0.0,1.4,1.2,0,442,7.91,19.97
2026-06-06 06:40:59.308,0.4,0.0,1.4,1.2,0,443,7.91,19.95
2026-06-06 06:40:59.837,0.4,0.0,1.3,1.2,0,448,7.91,19.88
2026-06-06 06:41:00.317,0.4,0.0,1.3,1.2,0,444,7.91,19.94
2026-06-06 06:41:00.816,0.4,0.0,1.3,1.2,0,444,7.91,19.94
2026-06-06 06:41:01.317,0.4,0.0,1.3,1.2,0,444,7.91,19.94
2026-06-06 06:41:01.862,0.4,0.0,1.2,1.2,0,443,7.91,19.95
2026-06-06 06:41:02.346,0.4,0.0,1.3,1.2,0,443,7.91,19.95
2026-06-06 06:41:02.812,0.4,0.0,1.3,1.2,0,441,7.91,19.98
2026-06-06 06:41:03.318,0.4,0.0,1.3,1.2,2,444,7.88,19.94
2026-06-06 06:41:03.849,0.4,0.0,1.3,1.2,8,443,7.79,19.95
2026-06-06 06:41:04.349,0.4,0.0,1.3,1.3,21,443,7.60,19.95
2026-06-06 06:41:04.817,0.5,0.0,1.2,1.3,42,443,7.29,19.95
2026-06-06 06:41:05.354,0.5,0.0,1.2,1.3,61,445,7.02,19.92
2026-06-06 06:41:05.837,0.5,0.0,1.1,1.3,56,444,7.09,19.94
2026-06-06 06:41:06.351,0.5,0.0,1.1,1.3,52,444,7.15,19.94
2026-06-06 06:41:06.851,0.5,0.0,1.2,1.3,36,443,7.38,19.95
2026-06-06 06:41:07.350,0.4,0.0,1.2,1.3,22,444,7.59,19.94
2026-06-06 06:41:07.832,0.4,0.0,1.2,1.4,13,444,7.72,19.94
2026-06-06 06:41:08.332,0.4,0.0,1.2,1.4,8,443,7.79,19.95
2026-06-06 06:41:08.808,0.5,0.0,1.3,1.4,24,443,7.56,19.95
2026-06-06 06:41:09.311,0.5,0.0,1.4,1.4,42,443,7.29,19.95
2026-06-06 06:41:09.806,0.5,0.0,1.4,1.4,46,443,7.24,19.95
2026-06-06 06:41:10.307,0.5,0.0,1.4,1.3,60,442,7.03,19.97
2026-06-06 06:41:10.808,0.5,0.0,1.4,1.3,71,443,6.87,19.95
2026-06-06 06:41:11.354,0.5,0.0,1.4,1.4,78,443,6.77,19.95
2026-06-06 06:41:11.855,0.5,0.0,1.3,1.4,68,444,6.91,19.94
2026-06-06 06:41:12.350,0.6,0.0,1.3,1.4,82,444,6.71,19.94
2026-06-06 06:41:12.849,0.5,0.0,1.3,1.3,78,444,6.77,19.94
2026-06-06 06:41:13.307,0.5,0.0,1.2,1.4,64,454,6.97,19.79
2026-06-06 06:41:13.817,0.5,0.0,1.2,1.4,53,443,7.13,19.95
2026-06-06 06:41:14.318,0.4,0.0,1.2,1.4,23,446,7.57,19.91
2026-06-06 06:41:14.819,0.4,0.0,1.2,1.4,1,442,7.90,19.97
2026-06-06 06:41:15.317,0.4,0.0,1.1,1.4,0,443,7.91,19.95
2026-06-06 06:41:15.865,0.4,0.0,1.1,1.4,2,442,7.88,19.97
2026-06-06 06:41:16.335,0.4,0.0,1.1,1.3,0,443,7.91,19.95
2026-06-06 06:41:16.837,0.4,0.0,1.1,1.2,0,444,7.91,19.94
2026-06-06 06:41:17.307,0.4,0.0,1.1,1.2,4,444,7.85,19.94
2026-06-06 06:41:17.866,0.4,0.0,1.1,1.1,1,460,7.90,19.70
